Kdy,Teplota,Vlhkost
2017-03-28 21:34:54,6.4,
2017-03-28 21:44:54,5.7,
2017-03-28 21:54:54,5.4,
2017-03-28 22:04:54,5.4,
2017-03-28 22:14:54,5.1,
2017-03-28 22:24:54,4.7,
2017-03-28 22:29:54,4.6,
2017-03-28 22:34:54,4.5,
2017-03-28 22:39:54,4.5,
2017-03-28 22:44:54,4.4,
2017-03-28 22:49:55,4.4,
2017-03-28 22:54:55,4.4,
2017-03-28 22:59:55,4.4,
2017-03-28 23:04:55,4.1,
2017-03-28 23:09:55,4.1,
2017-03-28 23:14:55,4.1,
2017-03-28 23:19:55,4.1,
2017-03-28 23:24:55,4.1,
2017-03-28 23:29:55,4,
2017-03-28 23:34:55,3.8,
2017-03-28 23:39:55,3.9,
2017-03-28 23:44:55,3.6,
2017-03-28 23:49:55,3.5,
2017-03-28 23:54:55,3.6,
2017-03-28 23:59:54,3.7,
2017-03-29 00:04:54,3.8,
2017-03-29 00:09:54,3.4,
2017-03-29 00:14:54,3.3,
2017-03-29 00:19:54,3.6,
2017-03-29 00:24:54,3.4,
2017-03-29 00:29:54,3.2,
2017-03-29 00:34:54,3.1,
2017-03-29 00:39:54,3.2,
2017-03-29 00:44:54,3.1,
2017-03-29 00:49:54,3.3,
2017-03-29 00:54:54,3.4,
2017-03-29 00:59:54,3.1,
2017-03-29 01:04:54,3.2,
2017-03-29 01:09:54,3.3,
2017-03-29 01:14:54,3.3,
2017-03-29 01:19:54,3.2,
2017-03-29 01:24:54,3.3,
2017-03-29 01:29:54,3.4,
2017-03-29 01:34:54,3.3,
2017-03-29 01:39:54,3.1,
2017-03-29 01:44:54,3,
2017-03-29 01:49:54,2.8,
2017-03-29 01:54:54,2.9,
2017-03-29 01:59:54,3.2,
2017-03-29 02:04:54,3.3,
2017-03-29 02:09:54,2.9,
2017-03-29 02:14:54,2.8,
2017-03-29 02:19:54,2.7,
2017-03-29 02:24:55,2.5,
2017-03-29 02:29:55,2.9,
2017-03-29 02:34:58,4.2,
2017-03-29 02:47:09,4.5,
2017-03-29 02:51:25,3.9,
2017-03-29 02:56:14,3.7,
2017-03-29 03:02:53,3.6,
2017-03-29 03:06:05,3.4,
2017-03-29 03:11:20,3.2,
2017-03-29 03:16:00,3,
2017-03-29 03:21:16,2.9,
2017-03-29 03:25:55,2.9,
2017-03-29 03:39:22,2.7,
2017-03-29 03:39:55,2.7,
2017-03-29 03:44:54,2.8,
2017-03-29 03:49:54,2.6,
2017-03-29 03:54:54,2.6,
2017-03-29 03:59:54,2.6,
2017-03-29 04:04:54,2.4,
2017-03-29 04:09:54,2.4,
2017-03-29 04:14:54,2.4,
2017-03-29 04:19:54,2.6,
2017-03-29 04:24:54,2.5,
2017-03-29 04:29:54,2.6,
2017-03-29 04:34:54,3.4,
2017-03-29 04:44:54,3.9,
2017-03-29 04:49:54,2.9,
2017-03-29 04:54:54,2.6,
2017-03-29 04:59:54,2.3,
2017-03-29 05:04:54,2.9,
2017-03-29 05:09:54,2.3,
2017-03-29 05:14:54,1.9,
2017-03-29 05:19:54,1.8,
2017-03-29 05:24:54,1.8,
2017-03-29 05:29:54,1.9,
2017-03-29 05:34:54,1.8,
2017-03-29 05:39:54,1.6,
2017-03-29 05:44:54,1.6,
2017-03-29 05:49:54,1.7,
2017-03-29 05:54:54,1.6,
2017-03-29 05:59:54,1.7,
2017-03-29 06:04:54,1.7,
2017-03-29 06:09:54,1.7,
2017-03-29 06:14:54,1.7,
